ID,Title,Type,Module,Wave/Epic,Priority,Status,Created,Last Updated,Finished,Owner,Notes
ALT-025,7 Leads filters (vendor CR scope ?96k),Feature,Leads,Web core,P0,Done,2026-06-11,2026-06-21,2026-06-12,Sub-agent,Sales Person filter dropped — no such field in vendor schema.
ALT-026,Excel export of Leads (multi-select + export),Feature,Leads,Web core,P0,Done,2026-06-11,2026-06-21,2026-06-12,Sub-agent,Part of the ?96k CR scope.
ALT-027,Add Lead (/leads/new) with ALT#### number generation,Feature,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Unique number generator scans global max. Retry on 23505 unique-violation.
ALT-028,Fix lead number duplicate key bug (generateLeadNumber scanned only last 50),Bug,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Claude,Fix: scan ALL lead_numbers for global max; insertLeadWithUniqueNumber retries on 23505.
ALT-029,Edit Lead (/leads/:id/edit),Feature,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Was broken at first owner review; since fixed.
ALT-030,"Lead Detail page (header, all fields, related meetings, stage history)",Feature,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"/leads/:id. Clickable contacts, activity timeline, stage changer."
ALT-031,Lead workspace: HubSpot-style 3 tabs (Activity/Lead Report/Meeting) + right info panel,Feature,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,src/components/lead/ + src/data/leadWorkspace.ts. Meeting tab scoped to current lead only.
ALT-032,Approval flow (request ? TL/Admin queue ? approve/reject + notifications),Feature,Leads,Web core,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,/approvals page (gated ADMIN/TL) + sidebar badge + ReportTab inline + email+in-app at each step. Stage IDs verified.
ALT-033,Pick existing contact when creating a lead (SearchSelect combobox),Feature,Leads,6 fixes,P1,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,lead_master.contact_id new column added. SearchSelect.tsx combobox (dependency-free).
ALT-034,Fix inline create-new-company placeholder values (NOT NULL cols),Bug,Leads,6 fixes,P1,Planned,2026-06-12,2026-06-21,,Claude,"Creates placeholder values into address_id, country_code_id, domain_id, industry_id. Needs refinement."
ALT-035,Per-user saved column views on Leads list,Feature,Leads,Per-project status,P2,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,user_view_pref table + UI built. Wave F complete.
ALT-036,Full stage-change workflow with approval + auto meeting creation,Feature,Leads,Web core,P2,Planned,2026-06-12,2026-06-21,,Sub-agent,Current stage change is simple only. Deferred — full workflow with auto-meeting creation.
ALT-037,"Meetings list on real data (610 rows, 7 filters, pagination)",Feature,Meetings,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,610 meetings; 593 lead-linked. Correct column: meeting_status (not empty `status`).
ALT-038,Meeting detail page (FRS-parity),Feature,Meetings,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,
ALT-039,Excel export of Meetings (18-field),Feature,Meetings,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Part of ?96k CR scope.
ALT-040,Create / schedule a meeting (linked to lead),Feature,Meetings,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,
ALT-041,Reschedule / cancel a meeting (UpdateMeetingModal),Feature,Meetings,6 fixes,P1,Done,2026-06-12,2026-06-21,2026-06-16,Sub-agent,Fires email+in-app on reschedule/cancel.
ALT-042,Email + in-app notification on meeting scheduled / rescheduled / cancelled,Feature,Notifications,6 fixes,P0,Done,2026-06-14,2026-06-21,2026-06-16,Sub-agent,Templates in email-templates.js. Fires via Gmail SMTP.
ALT-043,Fix Meeting tab: scope to current lead only (not whole calendar),Bug,Meetings,Web core,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,fetchLeadMeetings replaces fetchMyMeetings — feedback no longer leaks across leads.
ALT-044,Per-user saved views on Meetings list,Feature,Meetings,Per-project status,P2,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Wave F complete. user_view_pref table + UI built.
ALT-045,Meeting status workflow for QC role,Feature,Meetings,Web core,P1,Planned,2026-06-12,2026-06-21,,Ankit,QC role interaction with meetings not yet specified. Needs owner decision.
ALT-046,"Wishlist list on real data (54 rows, filters, export)",Feature,Wishlist,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,wishlist.ts reads company_name + lead_name + assign_agent/assign_tl direct.
ALT-047,Add to wishlist + edit wishlist item,Feature,Wishlist,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,
ALT-048,Assign wishlist item — email + in-app notification,Feature,Wishlist,6 fixes,P1,Done,2026-06-12,2026-06-21,2026-06-16,Sub-agent,wishlist.ts + WishlistDetailPage.tsx wired to notify service.
ALT-049,Convert wishlist item ? lead,Feature,Wishlist,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,convertWishlistToLead uses shared insertLeadWithUniqueNumber helper.
ALT-050,Per-user saved views on Wishlist list,Feature,Wishlist,Per-project status,P2,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Wave F complete. user_view_pref table + UI built.
ALT-051,"Build email + notification service (Node/Express + nodemailer, branded templates)",Feature,Notifications,6 fixes,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"new-code/notify-service. Gmail SMTP from amplior.ankits@gmail.com. /notify + /health, port 8787. Smoke test: real email delivered."
ALT-052,Email + in-app on lead assigned / reassigned,Feature,Notifications,6 fixes,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,createLead/updateLead wired. Recipient = salesperson (lead_report.user_id). Test recipient: ankit.s@amplior.com.
ALT-053,Email + in-app on approval requested / approved / rejected,Feature,Notifications,6 fixes,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Fires at each step of approval flow.
ALT-054,Live unread-count bell badge in sidebar (60s poll),Feature,Notifications,6 fixes,P1,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,fetchUnreadNotifCount in account.ts. Mirrors Approvals badge pattern.
ALT-055,Mark-as-read / unread state on Notifications page,Feature,Notifications,Per-project status,P2,Done,2026-06-14,2026-06-21,2026-06-21,Claude,"Verified 2026-06-21: NotificationsPage already has per-row Mark-read, Mark-all-as-read, optimistic+revert, all/unread tabs, mark-on-open — backed by markNotificationSeen/markAllNotificationsSeen."
ALT-056,Tune notification recipients per action (owner to specify each event),Task,Notifications,Per-project status,P2,Planned,2026-06-16,2026-06-21,,Ankit,Currently recipient = salesperson. Each action has a single TODO-commented spot in code.
ALT-057,Add meeting_rescheduled + meeting_cancelled email templates,Feature,Notifications,6 fixes,P0,Done,2026-06-16,2026-06-21,2026-06-16,Claude,email-templates.js. Both templates added and verified firing.
ALT-058,"Admin panel built — Users / Projects / Clients / Reference tabs, ADMIN-gated",Feature,Admin,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"Real edits work. Figma-matched (vertical sub-nav, role chips, toggles, modals)."
ALT-059,Add User: backend POST /api/users/create using service role key,Feature,Admin,6 fixes,P0,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,Creates user_master row + user_role + Supabase Auth account. Temp password returned. Verified end-to-end locally. Needs SUPABASE_SERVICE_ROLE_KEY on Hostinger.
ALT-060,Reset any user password (admin): POST /api/users/reset-password,Feature,Admin,6 fixes,P1,Done,2026-06-16,2026-06-21,2026-06-17,Claude,auth.admin.updateUserById. Verified live (404 on bogus id). Prod needs SUPABASE_SERVICE_ROLE_KEY on Hostinger.
ALT-061,Admin-editable dropdown option lists UI (Wave B),Feature,Admin,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,dropdown_option table seeded + admin UI management screen built. Wave B complete.
ALT-062,Manage roles / change a user's role,Feature,Admin,Per-project status,P1,Planned,2026-06-17,2026-06-21,,Sub-agent,Confirm role change updates profiles + takes effect immediately.
ALT-063,Set SUPABASE_URL + SUPABASE_SERVICE_ROLE_KEY env vars on Hostinger,Task,Admin,Deploy,P0,Planned,2026-06-16,2026-06-21,,Ankit,Hard gate: add-user and reset-password return 503 until this is done in production.
ALT-064,Create contact_master table and migrate 607 contacts from lead_master,Task,Data,Companies & Contacts,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,607 contacts migrated; 130 initially company-linked. DDL in companies-contacts.sql.
ALT-065,Add company_master.domain_clean + is_demo columns,Task,Data,Companies & Contacts,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,525 companies updated with domain_clean.
ALT-066,Email-domain sync: link contacts to companies by work-email domain,Feature,Contacts,Companies & Contacts,P1,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,286 contacts linked (417/608 total now have company_id). Script: backfill-apply.js. 159 contacts with unmatched work domains = candidate for auto-create.
ALT-067,interaction table for call-disposition / activity log,Task,Data,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,RLS on.
ALT-068,"Companies list page (525 companies, search, filters, export, pagination)",Feature,Companies,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Industry + city filters.
ALT-069,"Company detail page (HubSpot layout, contacts-by-city, project selector)",Feature,Companies,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Project selector display-only.
ALT-070,New company with dedup (clean domain OR CIN),Feature,Companies,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Surfaces existing record if match found; blocks duplicate. is_demo=false default.
ALT-071,Link existing contact into a company (modal ? sets contact.company_id),Feature,Companies,6 fixes,P1,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,"""Link existing contact"" modal on company detail. Uses SearchSelect combobox."
ALT-072,"Contacts list page (607 contacts, search, filters, export, pagination)",Feature,Contacts,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Default columns per spec.
ALT-073,Contact detail full edit (all fields + call/disposition panel),Feature,Contacts,6 fixes,P1,Done,2026-06-14,2026-06-21,2026-06-16,Sub-agent,All fields editable; call & disposition panel writes to interaction table.
ALT-074,Change / clear a contact's company (pencil icon on contact detail),Feature,Contacts,6 fixes,P1,Done,2026-06-16,2026-06-21,2026-06-16,Sub-agent,updateContactCompany in contacts.ts.
ALT-075,New contact with dedup (email ? LinkedIn ? phone),Feature,Contacts,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"Demo mode DEFAULT-ON (skips dedup, is_demo=true)."
ALT-076,Per-project contact status / description / comments on contact detail (Wave C),Feature,Contacts,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,contact_project_status table + UI display + edit built. Wave C complete.
ALT-077,Company detail: account status / feasibility / decision power / desc / comments (Wave E),Feature,Companies,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,"company_project_status table + UI (account_status, is_feasible, decision_power, desc, comments) built. Wave E complete."
ALT-078,Contact Status column in Contacts list (Wave C),Feature,Contacts,Per-project status,P1,Planned,2026-06-17,2026-06-21,,Sub-agent,Reads contact_project_status.status per active project.
ALT-079,Multi-select + export on Contacts list,Feature,Contacts,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Wave C complete.
ALT-080,Multi-select + export on Companies list,Feature,Companies,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Wave F complete.
ALT-081,Per-user saved column views on Contacts and Companies,Feature,Contacts,Per-project status,P2,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,user_view_pref table + UI built for Contacts and Companies. Wave C/E complete.
ALT-082,Per-project ownership: company_project_owner table + assign UI,Feature,Companies,Per-project status,P2,Planned,2026-06-14,2026-06-21,,Sub-agent,"Companies currently show ""Unassigned"". 1 owner per company PER PROJECT."
ALT-083,Masked visibility (names+city to all; details to owner+downline),Feature,Contacts,Per-project status,P2,Planned,2026-06-14,2026-06-21,,Sub-agent,Depends on per-project ownership + user_master.manager_id hierarchy column.
ALT-084,Auto-create companies for 159 contacts with unmatched work domains,Task,Data,Companies & Contacts,P3,Planned,2026-06-16,2026-06-21,,Sub-agent,
ALT-085,Company detail: LinkedIn field display,Feature,Companies,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-21,Claude,"Done 2026-06-21: LinkedIn shown in the company ""About"" grid (CompanyDetailPage), alongside revenue/employees/website/email/CIN."
ALT-086,dropdown_option table + seed starter values (Wave A DB),Task,Data,Per-project status,P0,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,"contact_status ×6, call_disposition ×8, account_status ×7, decision_power ×3, feasibility ×3. SQL: feature-status-schema.sql."
ALT-087,"contact_project_status table (unique contact+project, status/desc/comments)",Task,Data,Per-project status,P0,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,RLS on (authenticated baseline).
ALT-088,"company_project_status table (account_status, is_feasible, decision_power, desc, comments)",Task,Data,Per-project status,P0,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Per project per company. RLS on.
ALT-089,user_view_pref table (per-user column layout preferences),Task,Data,Per-project status,P1,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Schema only; UI not built yet.
ALT-090,Surface pre-sales questions in lead workspace per domain (Wave B),Feature,Leads,Per-project status,P2,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,Pre-sales questions surfaced per domain_master in lead workspace. Wave B complete.
ALT-091,Call Disposition UI in Contact detail + Company contact rows,Feature,Contacts,Per-project status,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Writes to interaction table.
ALT-092,Combine web app + email service into one Node process for Hostinger,Feature,Deploy/Infra,Deploy,P0,Done,2026-06-16,2026-06-21,2026-06-16,Claude,Root package.json + server.js ? new-code/notify-service/server.js. Node 22.x.
ALT-093,"Deploy live at crm.altleads.com (Hostinger, git auto-deploy from AltLeads-CRM)",Task,Deploy/Infra,Deploy,P0,Done,2026-06-16,2026-06-21,2026-06-16,Claude,"HTTP 200, /health OK, email delivery verified. Git auto-deploy from clean AltLeads-CRM repo."
ALT-094,Verify email delivery on live Hostinger deploy,Task,Deploy/Infra,Deploy,P0,Done,2026-06-16,2026-06-21,2026-06-16,Claude,Live POST /notify ? {ok:true}. Gmail SMTP not blocked. Test recipient: ankit.s@amplior.com.
ALT-095,Parallel run: team uses new + old system together for 1-2 weeks,Task,Deploy/Infra,Deploy,P0,Planned,2026-06-17,2026-06-21,,Ankit,1-2 weeks of owner-led testing. Very little AI work. Old system runs untouched.
ALT-096,Cutover — switch fully to new system and retire DigitalOcean,Task,Deploy/Infra,Deploy,P0,Planned,2026-06-17,2026-06-21,,Ankit,After parallel run passes. Retire DO droplet + MySQL.
ALT-097,"Set base UI style (Attio/Linear, Inter font, white sidebar)",Feature,Deploy/Infra,Design,P1,Done,2026-06-11,2026-06-21,2026-06-11,Sub-agent,"Done after owner ""AI generated"" feedback."
ALT-098,Export Figma frames as reference PNGs (web + mobile),Task,Docs,Design,P1,Done,2026-06-12,2026-06-21,2026-06-14,Sub-agent,Web (29) + mobile (23) exported. Admin (35) hit Figma API rate limit (~73h quota).
ALT-099,"Apply brand design system: blue #1A7EE8 palette, tokens, primitives",Feature,Deploy/Infra,Design,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"index.css tokens, Sidebar/TopBar/AppShell/LoginPage/Badge restyle. docs/DESIGN-SYSTEM.md written."
ALT-100,"Design-match pass: web app vs Figma ""New UI"" (29 frames)",Feature,Deploy/Infra,Design,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"Split login, lead-detail stepper, leads avatars, breadcrumbs, all modules unified."
ALT-101,"Design-match pass: Admin panel (from design system, Figma admin unavailable)",Feature,Admin,Design,P2,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Styled from design system. Figma admin frames hit rate limit (~73h; stop retrying).
ALT-102,"AltLeads logo: ""AltLeads"" wordmark (Alt=brand blue, Leads=near-black)",Feature,Deploy/Infra,Design,P2,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,src/components/ui/Logo.tsx. Wired into Sidebar + LoginPage. Per owner request.
ALT-103,AltLeads bear-head logo SVG asset from owner / Figma zip,Task,Deploy/Infra,Design,P2,Planned,2026-06-14,2026-06-21,,Ankit,Currently wordmark only. Owner to provide SVG or extract from Figma zip.
ALT-104,"Design-match pass: Mobile vs Figma ""Mobile UI"" (23 frames)",Feature,Deploy/Infra,Design,P2,Planned,2026-06-14,2026-06-21,,Sub-agent,Phase 6.
ALT-105,"Empty states, loading states, error states polish",Feature,Deploy/Infra,Design,P2,Planned,2026-06-14,2026-06-21,,Sub-agent,
ALT-106,"Recreate 2 missing mobile config files (environment_urls, httpMethod)",Task,Deploy/Infra,Mobile,P1,Planned,2026-06-11,2026-06-21,,Sub-agent,Vendor withheld them; RN app can't build without them.
ALT-107,"Rewire mobile RN app to Supabase (new backend, ~57 files)",Feature,Deploy/Infra,Mobile,P1,Planned,2026-06-11,2026-06-21,,Sub-agent,App is API-driven (RN 0.78). Replace all API endpoint refs with Supabase client calls.
ALT-108,New Android signing keystore,Task,Deploy/Infra,Mobile,P1,Planned,2026-06-11,2026-06-21,,Ankit,Release keystore not in repo. Fine for new listing. Existing Play listing needs vendor key or Google reset.
ALT-109,iOS build via GitHub Actions macOS runner,Task,Deploy/Infra,Mobile,P1,Planned,2026-06-11,2026-06-21,,Claude,Owner on Windows. Can also borrow 2020 MacBook.
ALT-110,Apple Developer + Google Play access recovery,Task,Deploy/Infra,Mobile,P1,Planned,2026-06-11,2026-06-21,,Ankit,Vendor may ghost (unpaid invoice) — have Apple/Google support recovery route.
ALT-111,Dashboard on real data (lead/meeting stat cards),Feature,Leads,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"604 leads, meetings this week, 333 successful. Owner chose stat cards over calendar view."
ALT-112,Role-aware dashboard (admin vs agent see different numbers),Feature,Leads,Per-project status,P1,Planned,2026-06-12,2026-06-21,,Sub-agent,Depends on fine-grained RLS (A-06).
ALT-113,"Wave 1 QA audit (11-agent, all modules vs code+live DB)",Task,Deploy/Infra,QA & Bugfix,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"docs/QA-AUDIT.md: 3 critical, 9 high, 13 med, 16 low issues found."
ALT-114,Wave 2 fix swarm (6 disjoint file lanes): fix all confirmed QA bugs,Bug,Deploy/Infra,QA & Bugfix,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,"All 6 lanes fixed; build passes clean. Fixed: inline company cols, created_by=user_id, resubmit flow, decision rehydrate, meetings company col, mark-confirmed stage, wishlist dropdown, admin role-edit, notification rendering."
ALT-115,Design AI/pgvector plan for semantic search over activity log,Task,AI,AI,P3,Done,2026-06-14,2026-06-21,2026-06-17,Sub-agent,HubSpot access-model research + AI/pgvector design completed by sub-agent. Findings in docs/product/ACCESS-CONTROL-MODEL.md.
ALT-116,Enable pgvector extension in Supabase,Task,AI,AI,P3,Planned,2026-06-14,2026-06-21,,Sub-agent,Depends on AI plan.
ALT-117,Embed and index interaction/activity logs for vector search,Feature,AI,AI,P3,Planned,2026-06-14,2026-06-21,,Sub-agent,Depends on pgvector enabled.
ALT-118,Write USER-STORIES-AND-FLOWS.md from FRS + old code + CR doc,Docs,Docs,Docs,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"13-stage lifecycle, approval flow, all modules, 20 ?open questions, CR Delta section."
ALT-119,"Write full product docs suite (PRD, BACKLOG, ROADMAP, ROLES, DATA-DICTIONARY, UAT, RISK, DECISIONS, GLOSSARY)",Docs,Docs,Docs,P1,Done,2026-06-14,2026-06-21,2026-06-17,Sub-agent,docs/product/ suite: 10 docs + INDEX.md. Root README rewritten.
ALT-120,Write COMPANIES-CONTACTS-BLUEPRINT.md (per-project ownership + dedup rules),Docs,Docs,Companies & Contacts,P1,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,Dedup keys: contact = email ? LinkedIn ? phone; company = domain ? CIN.
ALT-121,Owner reviews user-stories doc and answers the open-question gaps,Task,Docs,Docs,P0,Planned,2026-06-12,2026-06-21,,Ankit,20 ? questions in USER-STORIES-AND-FLOWS.md. Reconcile backlog after review.
ALT-122,REBUILD_LOG.md session log — keep up to date every session,Docs,Docs,Docs,P1,In Progress,2026-06-11,2026-06-21,,Claude,Append every session. Living log.
ALT-123,Build Jira-style Excel backlog tracker (this file),Docs,Docs,Docs,P2,Done,2026-06-17,2026-06-21,2026-06-17,Claude,Generator: new-code/web/scripts/gen-backlog-tracker.cjs. Re-run to refresh. Merge by ID preserves Created dates.
ALT-124,Editable profile (Settings page),Feature,Admin,Web core,P2,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,
ALT-125,"Change password (Settings, via Supabase Auth)",Feature,Admin,Web core,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,
ALT-126,Security audit (multi-agent) ? docs/SECURITY-AUDIT.md,Security,Security,Security hardening,P0,Done,2026-06-17,2026-06-21,2026-06-17,Sub-agent,"29 findings, 14 High/Critical. Headline: data protected client-side only; admin endpoints unauthenticated; open email relay. All critical issues addressed same day."
ALT-127,Auth-gate /api/users/create + /reset-password (requireAdmin middleware),Security,Security,Security hardening,P0,Done,2026-06-17,2026-06-21,2026-06-17,Claude,JWT + role check (requireAdmin). Was zero-credential admin takeover. 401 verified without token.
ALT-128,Auth + rate-limit + single-recipient guard on /notify (open relay fix),Security,Security,Security hardening,P0,Done,2026-06-17,2026-06-21,2026-06-17,Claude,requireAuth + single-email validation (blocks injected recipients) + express-rate-limit on /notify endpoint.
ALT-129,helmet security headers + 32 KB body limit on notify-service,Security,Security,Security hardening,P1,Done,2026-06-17,2026-06-21,2026-06-17,Claude,"helmet() for CSP/HSTS/etc. express.json({ limit: ""32kb"" }). Deps added to notify-service + root package.json."
ALT-130,"Disable public Supabase signup (Management API, disable_signup=true)",Security,Security,Security hardening,P0,Done,2026-06-17,2026-06-21,2026-06-17,Claude,Prevents self-registration on the public Supabase Auth endpoint. Verified via Management API.
